tag,life-stage,init-treat,Date,month,length.mm,notes
Cat,adult,control,11/21/23,Nov,90,
Cat,adult,treatment,11/21/23,Nov,90,has a friend
Cat,adult,treatment,11/21/23,Nov,90,has a friend
Cat,adult,treatment,11/21/23,Nov,93,has a friend
Cat,adult,treatment,11/21/23,Nov,94,
Cat,adult,control,11/21/23,Nov,95,
Cat,adult,treatment,11/21/23,Nov,95,has a friend
Cat,adult,treatment,11/21/23,Nov,97,
Cat,adult,control,11/21/23,Nov,101,
Orange,adult,control,1/31/24,Jan,29,
Bird,adult,treatment,1/31/24,Jan,29,
Bird,adult,treatment,1/31/24,Jan,30,
Bird,adult,treatment,1/31/24,Jan,30,
Blue,adult,treatment,1/31/24,Jan,33,
Bird,adult,treatment,1/31/24,Jan,33,
Bird,adult,treatment,1/31/24,Jan,34,
Bird,adult,treatment,1/31/24,Jan,34,
Pink,adult,treatment,1/31/24,Jan,35,
Orange,adult,control,1/31/24,Jan,35,
Bird,adult,treatment,1/31/24,Jan,35,
Blue,adult,control,1/31/24,Jan,36,
Pink,adult,control,1/31/24,Jan,37,
Pink,adult,treatment,1/31/24,Jan,37,
Blue,adult,control,1/31/24,Jan,38,
Blue,adult,treatment,1/31/24,Jan,38,
Blue,adult,control,1/31/24,Jan,39,
Blue,adult,control,1/31/24,Jan,39,
Orange,adult,treatment,1/31/24,Jan,39,
Bird,adult,control,1/31/24,Jan,39,
Blue,adult,treatment,1/31/24,Jan,40,
Blue,adult,treatment,1/31/24,Jan,40,
Pink,adult,control,1/31/24,Jan,40,
Pink,adult,treatment,1/31/24,Jan,40,
Orange,adult,control,1/31/24,Jan,40,
Orange,adult,treatment,1/31/24,Jan,40,
Bird,adult,control,1/31/24,Jan,40,
Blue,adult,control,1/31/24,Jan,41,
Pink,adult,control,1/31/24,Jan,41,
Pink,adult,control,1/31/24,Jan,41,
Bird,adult,treatment,1/31/24,Jan,41,
Bird,adult,treatment,1/31/24,Jan,41,
Orange,adult,control,1/31/24,Jan,42,
Orange,adult,treatment,1/31/24,Jan,43,
Blue,adult,treatment,1/31/24,Jan,44,
Pink,adult,control,1/31/24,Jan,44,
Pink,adult,treatment,1/31/24,Jan,44,
Bird,adult,control,1/31/24,Jan,44,
Blue,adult,treatment,1/31/24,Jan,45,
Pink,adult,treatment,1/31/24,Jan,45,
Orange,adult,treatment,1/31/24,Jan,45,
Bird,adult,control,1/31/24,Jan,45,
Bird,adult,control,1/31/24,Jan,45,
Blue,adult,treatment,1/31/24,Jan,46,
Blue,adult,treatment,1/31/24,Jan,46,
Pink,adult,control,1/31/24,Jan,46,
Pink,adult,control,1/31/24,Jan,46,
Pink,adult,treatment,1/31/24,Jan,46,
Orange,adult,treatment,1/31/24,Jan,46,
Bird,adult,control,1/31/24,Jan,46,
Blue,adult,control,1/31/24,Jan,47,
Blue,adult,control,1/31/24,Jan,47,
Blue,adult,control,1/31/24,Jan,47,
Pink,adult,control,1/31/24,Jan,47,
Pink,adult,control,1/31/24,Jan,47,
Pink,adult,treatment,1/31/24,Jan,47,
Orange,adult,control,1/31/24,Jan,47,
Orange,adult,treatment,1/31/24,Jan,47,
Blue,adult,control,1/31/24,Jan,48,
Pink,adult,treatment,1/31/24,Jan,49,
Orange,adult,control,1/31/24,Jan,49,
Orange,adult,treatment,1/31/24,Jan,49,
Bird,adult,control,1/31/24,Jan,49,
Blue,adult,control,1/31/24,Jan,50,
Blue,adult,control,1/31/24,Jan,50,
Blue,adult,treatment,1/31/24,Jan,50,
Blue,adult,treatment,1/31/24,Jan,50,
Pink,adult,control,1/31/24,Jan,50,
Pink,adult,treatment,1/31/24,Jan,50,
Orange,adult,treatment,1/31/24,Jan,50,
Orange,adult,treatment,1/31/24,Jan,50,
Bird,adult,control,1/31/24,Jan,50,
Pink,adult,control,1/31/24,Jan,51,
Orange,adult,treatment,1/31/24,Jan,51,
Bird,adult,control,1/31/24,Jan,51,
Bird,adult,treatment,1/31/24,Jan,51,
Bird,adult,treatment,1/31/24,Jan,51,
Pink,adult,treatment,1/31/24,Jan,52,
Orange,adult,control,1/31/24,Jan,52,
Bird,adult,control,1/31/24,Jan,52,
Bird,adult,treatment,1/31/24,Jan,52,
Pink,adult,control,1/31/24,Jan,53,
Pink,adult,treatment,1/31/24,Jan,53,discounted the smallest measurement (1-31) as there was an extra. Likely a previous buddy now which is now on its own.
Orange,adult,treatment,1/31/24,Jan,53,
Bird,adult,control,1/31/24,Jan,53,
Bird,adult,control,1/31/24,Jan,53,
Bird,adult,treatment,1/31/24,Jan,53,
Blue,adult,control,1/31/24,Jan,55,
Blue,adult,control,1/31/24,Jan,55,
Blue,adult,treatment,1/31/24,Jan,55,
Orange,adult,control,1/31/24,Jan,55,
Bird,adult,control,1/31/24,Jan,55,
Pink,adult,control,1/31/24,Jan,56,
Orange,adult,control,1/31/24,Jan,56,
Orange,adult,treatment,1/31/24,Jan,56,
Bird,adult,treatment,1/31/24,Jan,56,
Blue,adult,control,1/31/24,Jan,58,
Blue,adult,treatment,1/31/24,Jan,58,
Pink,adult,control,1/31/24,Jan,58,
Pink,adult,treatment,1/31/24,Jan,58,
Orange,adult,control,1/31/24,Jan,59,
Orange,adult,treatment,1/31/24,Jan,59,
Pink,adult,control,1/31/24,Jan,60,
Pink,adult,treatment,1/31/24,Jan,60,
Pink,adult,treatment,1/31/24,Jan,60,
Orange,adult,control,1/31/24,Jan,60,
Orange,adult,treatment,1/31/24,Jan,61,
Bird,adult,treatment,1/31/24,Jan,61,
Blue,adult,treatment,1/31/24,Jan,62,
Orange,adult,control,1/31/24,Jan,64,
Pink,adult,treatment,1/31/24,Jan,65,
Blue,adult,control,1/31/24,Jan,66,
Orange,adult,control,1/31/24,Jan,66,
Orange,adult,control,1/31/24,Jan,66,
Orange,adult,control,1/31/24,Jan,68,
Orange,adult,treatment,1/31/24,Jan,69,
Bird,adult,control,1/31/24,Jan,69,
Blue,adult,treatment,1/31/24,Jan,73,
Bird,adult,control,1/31/24,Jan,73,
Blue,adult,treatment,1/31/24,Jan,75,
P2,juvenile,treatment,1/31/24,Jan,23,dead 1-31-24
P2,juvenile,control,1/31/24,Jan,25,
P5,juvenile,treatment,1/31/24,Jan,25,dead 1-31-24
P5,juvenile,treatment,1/31/24,Jan,25,dead 1-31-24
H1,juvenile,control,1/31/24,Jan,25,
H1,juvenile,treatment,1/31/24,Jan,26,
P2,juvenile,treatment,1/31/24,Jan,28,dead 1-31-24
T2,juvenile,treatment,1/31/24,Jan,28,
T2,juvenile,treatment,1/31/24,Jan,28,
P5,juvenile,control,1/31/24,Jan,28,
P5,juvenile,control,1/31/24,Jan,28,
P5,juvenile,treatment,1/31/24,Jan,28,dead 1-31-24
H1,juvenile,treatment,1/31/24,Jan,28,
T2,juvenile,control,1/31/24,Jan,29,
T2,juvenile,treatment,1/31/24,Jan,29,
P5,juvenile,treatment,1/31/24,Jan,29,dead 1-31-24
H1,juvenile,treatment,1/31/24,Jan,29,
H1,juvenile,treatment,1/31/24,Jan,29,
P2,juvenile,control,1/31/24,Jan,30,
P2,juvenile,control,1/31/24,Jan,30,
T2,juvenile,control,1/31/24,Jan,30,
T2,juvenile,control,1/31/24,Jan,30,
T2,juvenile,control,1/31/24,Jan,30,
P5,juvenile,control,1/31/24,Jan,30,
P5,juvenile,treatment,1/31/24,Jan,30,dead 1-31-24
H1,juvenile,control,1/31/24,Jan,30,
H1,juvenile,control,1/31/24,Jan,30,
H1,juvenile,treatment,1/31/24,Jan,30,
P2,juvenile,control,1/31/24,Jan,31,
P2,juvenile,control,1/31/24,Jan,31,
P2,juvenile,treatment,1/31/24,Jan,31,dead 1-31-24
P2,juvenile,treatment,1/31/24,Jan,31,dead 1-31-24
P2,juvenile,treatment,1/31/24,Jan,31,
P5,juvenile,control,1/31/24,Jan,31,
T2,juvenile,control,1/31/24,Jan,32,
H1,juvenile,control,1/31/24,Jan,32,
H1,juvenile,treatment,1/31/24,Jan,32,
P2,juvenile,control,1/31/24,Jan,33,
T2,juvenile,treatment,1/31/24,Jan,33,
T2,juvenile,treatment,1/31/24,Jan,33,
P5,juvenile,treatment,1/31/24,Jan,33,dead 1-31-24
H1,juvenile,control,1/31/24,Jan,33,
H1,juvenile,treatment,1/31/24,Jan,33,
P2,juvenile,treatment,1/31/24,Jan,34,dead 1-31-24
T2,juvenile,control,1/31/24,Jan,34,
T2,juvenile,treatment,1/31/24,Jan,34,
P5,juvenile,treatment,1/31/24,Jan,34,dead 1-31-24
P5,juvenile,treatment,1/31/24,Jan,34,dead 1-31-24
H1,juvenile,control,1/31/24,Jan,34,
H1,juvenile,control,1/31/24,Jan,34,
H1,juvenile,treatment,1/31/24,Jan,34,
P2,juvenile,treatment,1/31/24,Jan,35,
T2,juvenile,control,1/31/24,Jan,35,
T2,juvenile,control,1/31/24,Jan,35,
T2,juvenile,treatment,1/31/24,Jan,35,
T2,juvenile,treatment,1/31/24,Jan,35,
P5,juvenile,control,1/31/24,Jan,35,
P5,juvenile,control,1/31/24,Jan,35,
T2,juvenile,treatment,1/31/24,Jan,36,
H1,juvenile,control,1/31/24,Jan,36,
H1,juvenile,control,1/31/24,Jan,36,
P2,juvenile,control,1/31/24,Jan,37,
P2,juvenile,treatment,1/31/24,Jan,37,
T2,juvenile,control,1/31/24,Jan,37,
T2,juvenile,control,1/31/24,Jan,37,
T2,juvenile,control,1/31/24,Jan,37,
P5,juvenile,control,1/31/24,Jan,37,
H1,juvenile,control,1/31/24,Jan,37,
H1,juvenile,treatment,1/31/24,Jan,37,
H1,juvenile,treatment,1/31/24,Jan,37,
P2,juvenile,control,1/31/24,Jan,38,
P2,juvenile,control,1/31/24,Jan,38,
P2,juvenile,treatment,1/31/24,Jan,38,
T2,juvenile,treatment,1/31/24,Jan,38,
P5,juvenile,control,1/31/24,Jan,38,
P5,juvenile,control,1/31/24,Jan,38,
H1,juvenile,control,1/31/24,Jan,38,
P2,juvenile,control,1/31/24,Jan,39,
P2,juvenile,control,1/31/24,Jan,39,
P2,juvenile,treatment,1/31/24,Jan,39,
T2,juvenile,control,1/31/24,Jan,39,
P5,juvenile,control,1/31/24,Jan,39,
P5,juvenile,treatment,1/31/24,Jan,39,dead 1-31-24
P5,juvenile,treatment,1/31/24,Jan,39,dead 1-31-24
P5,juvenile,treatment,1/31/24,Jan,39,
P2,juvenile,control,1/31/24,Jan,40,
P2,juvenile,treatment,1/31/24,Jan,40,dead 1-31-24
P2,juvenile,treatment,1/31/24,Jan,40,
P5,juvenile,control,1/31/24,Jan,40,
P5,juvenile,treatment,1/31/24,Jan,40,
H1,juvenile,treatment,1/31/24,Jan,40,
H1,juvenile,treatment,1/31/24,Jan,40,
H1,juvenile,treatment,1/31/24,Jan,40,
T2,juvenile,control,1/31/24,Jan,42,
T2,juvenile,treatment,1/31/24,Jan,42,
P5,juvenile,control,1/31/24,Jan,42,
P5,juvenile,treatment,1/31/24,Jan,42,dead 1-31-24
P5,juvenile,treatment,1/31/24,Jan,42,
H1,juvenile,control,1/31/24,Jan,42,
P2,juvenile,control,1/31/24,Jan,43,
T2,juvenile,treatment,1/31/24,Jan,43,
P2,juvenile,treatment,1/31/24,Jan,44,
T2,juvenile,control,1/31/24,Jan,44,
P5,juvenile,control,1/31/24,Jan,44,
P5,juvenile,control,1/31/24,Jan,44,
H1,juvenile,control,1/31/24,Jan,45,
H1,juvenile,treatment,1/31/24,Jan,45,
P2,juvenile,control,1/31/24,Jan,46,
P2,juvenile,treatment,1/31/24,Jan,46,
H1,juvenile,treatment,1/31/24,Jan,46,
H1,juvenile,control,1/31/24,Jan,47,
P2,juvenile,treatment,1/31/24,Jan,48,
H1,juvenile,control,1/31/24,Jan,48,
T2,juvenile,treatment,1/31/24,Jan,49,
P2,juvenile,control,1/31/24,Jan,50,
T2,juvenile,treatment,1/31/24,Jan,50,
T2,juvenile,treatment,1/31/24,Jan,52,
T2,juvenile,control,1/31/24,Jan,57,
P5,juvenile,control,1/31/24,Jan,61,
P5,juvenile,treatment,1/31/24,Jan,63,
upper left,seed,treatment,1/31/24,Jan,11,
lower left,seed,treatment,1/31/24,Jan,11,
upper right,seed,control,1/31/24,Jan,11,
upper right,seed,control,1/31/24,Jan,11,
upper left,seed,treatment,1/31/24,Jan,12,
upper left,seed,treatment,1/31/24,Jan,12,
upper right,seed,control,1/31/24,Jan,12,
lower right,seed,control,1/31/24,Jan,12,
upper right,seed,control,1/31/24,Jan,14,
lower right,seed,control,1/31/24,Jan,14,
upper left,seed,treatment,1/31/24,Jan,15,
lower left,seed,treatment,1/31/24,Jan,15,
lower left,seed,treatment,1/31/24,Jan,15,
lower right,seed,control,1/31/24,Jan,15,
upper left,seed,treatment,1/31/24,Jan,16,
upper left,seed,treatment,1/31/24,Jan,16,
lower left,seed,treatment,1/31/24,Jan,16,
lower right,seed,control,1/31/24,Jan,16,
lower right,seed,control,1/31/24,Jan,16,
lower right,seed,control,1/31/24,Jan,16,
lower right,seed,control,1/31/24,Jan,16,
upper left,seed,treatment,1/31/24,Jan,17,
upper left,seed,treatment,1/31/24,Jan,17,
upper left,seed,treatment,1/31/24,Jan,17,
lower left,seed,treatment,1/31/24,Jan,17,
upper right,seed,control,1/31/24,Jan,17,
upper right,seed,control,1/31/24,Jan,17,
upper left,seed,treatment,1/31/24,Jan,18,
upper right,seed,control,1/31/24,Jan,18,
upper right,seed,control,1/31/24,Jan,18,
upper right,seed,control,1/31/24,Jan,18,
lower right,seed,control,1/31/24,Jan,18,
upper left,seed,treatment,1/31/24,Jan,19,
lower left,seed,treatment,1/31/24,Jan,19,
lower left,seed,treatment,1/31/24,Jan,19,
upper right,seed,control,1/31/24,Jan,19,
upper right,seed,control,1/31/24,Jan,19,
lower right,seed,control,1/31/24,Jan,19,
lower right,seed,control,1/31/24,Jan,19,
lower right,seed,control,1/31/24,Jan,19,
lower right,seed,control,1/31/24,Jan,19,
upper left,seed,treatment,1/31/24,Jan,20,
upper left,seed,treatment,1/31/24,Jan,20,
upper left,seed,treatment,1/31/24,Jan,20,
lower left,seed,treatment,1/31/24,Jan,20,
lower left,seed,treatment,1/31/24,Jan,20,
lower left,seed,treatment,1/31/24,Jan,20,
upper right,seed,control,1/31/24,Jan,20,
upper right,seed,control,1/31/24,Jan,20,
upper right,seed,control,1/31/24,Jan,20,
upper right,seed,control,1/31/24,Jan,20,
lower right,seed,control,1/31/24,Jan,20,
lower right,seed,control,1/31/24,Jan,20,
lower right,seed,control,1/31/24,Jan,20,
upper left,seed,treatment,1/31/24,Jan,21,
lower left,seed,treatment,1/31/24,Jan,21,
upper right,seed,control,1/31/24,Jan,21,
upper right,seed,control,1/31/24,Jan,21,
upper right,seed,control,1/31/24,Jan,21,
upper right,seed,control,1/31/24,Jan,21,
upper right,seed,control,1/31/24,Jan,21,
upper left,seed,treatment,1/31/24,Jan,22,
upper left,seed,treatment,1/31/24,Jan,22,
upper left,seed,treatment,1/31/24,Jan,22,
lower left,seed,treatment,1/31/24,Jan,22,
lower left,seed,treatment,1/31/24,Jan,22,
upper right,seed,control,1/31/24,Jan,22,
lower right,seed,control,1/31/24,Jan,22,
lower right,seed,control,1/31/24,Jan,22,
upper left,seed,treatment,1/31/24,Jan,23,
upper left,seed,treatment,1/31/24,Jan,23,
upper right,seed,control,1/31/24,Jan,23,
lower right,seed,control,1/31/24,Jan,23,
upper left,seed,treatment,1/31/24,Jan,24,
upper left,seed,treatment,1/31/24,Jan,24,
lower left,seed,treatment,1/31/24,Jan,24,
lower left,seed,treatment,1/31/24,Jan,24,
upper right,seed,control,1/31/24,Jan,24,
upper right,seed,control,1/31/24,Jan,24,
lower right,seed,control,1/31/24,Jan,24,
lower right,seed,control,1/31/24,Jan,24,
upper left,seed,treatment,1/31/24,Jan,25,
upper left,seed,treatment,1/31/24,Jan,25,
lower left,seed,treatment,1/31/24,Jan,25,
lower left,seed,treatment,1/31/24,Jan,25,
upper right,seed,control,1/31/24,Jan,25,
upper right,seed,control,1/31/24,Jan,25,
lower right,seed,control,1/31/24,Jan,25,
upper left,seed,treatment,1/31/24,Jan,26,
upper left,seed,treatment,1/31/24,Jan,26,
upper left,seed,treatment,1/31/24,Jan,26,
upper left,seed,treatment,1/31/24,Jan,26,
lower left,seed,treatment,1/31/24,Jan,26,
lower left,seed,treatment,1/31/24,Jan,26,
upper right,seed,control,1/31/24,Jan,26,
lower right,seed,control,1/31/24,Jan,26,
upper right,seed,control,1/31/24,Jan,27,
lower right,seed,control,1/31/24,Jan,27,
lower right,seed,control,1/31/24,Jan,27,
lower left,seed,treatment,1/31/24,Jan,28,
lower right,seed,control,1/31/24,Jan,28,
upper left,seed,treatment,1/31/24,Jan,29,
lower left,seed,treatment,1/31/24,Jan,29,
lower left,seed,treatment,1/31/24,Jan,29,
lower right,seed,control,1/31/24,Jan,29,
upper left,seed,treatment,1/31/24,Jan,30,
lower left,seed,treatment,1/31/24,Jan,30,
lower right,seed,control,1/31/24,Jan,33,
lower left,seed,treatment,1/31/24,Jan,35,
lower left,seed,treatment,1/31/24,Jan,42,
upper left,seed,treatment,2/26/24,Feb,25,
upper left,seed,treatment,2/26/24,Feb,16,
upper left,seed,treatment,2/26/24,Feb,27,
upper left,seed,treatment,2/26/24,Feb,15,
upper left,seed,treatment,2/26/24,Feb,15,
upper left,seed,treatment,2/26/24,Feb,24,
upper left,seed,treatment,2/26/24,Feb,20,
upper left,seed,treatment,2/26/24,Feb,24,
upper left,seed,treatment,2/26/24,Feb,18,
upper left,seed,treatment,2/26/24,Feb,20,
upper left,seed,treatment,2/26/24,Feb,26,
upper left,seed,treatment,2/26/24,Feb,18,
upper left,seed,treatment,2/26/24,Feb,23,
upper left,seed,treatment,2/26/24,Feb,22,
upper left,seed,treatment,2/26/24,Feb,11,
upper left,seed,treatment,2/26/24,Feb,20,
upper left,seed,treatment,2/26/24,Feb,19,
upper left,seed,treatment,2/26/24,Feb,20,
upper left,seed,treatment,2/26/24,Feb,24,
upper left,seed,treatment,2/26/24,Feb,20,
upper left,seed,treatment,2/26/24,Feb,19,
upper left,seed,treatment,2/26/24,Feb,15,
upper left,seed,treatment,2/26/24,Feb,20,
upper left,seed,treatment,2/26/24,Feb,20,
upper left,seed,treatment,2/26/24,Feb,18,
upper left,seed,treatment,2/26/24,Feb,20,
upper left,seed,treatment,2/26/24,Feb,21,
upper left,seed,treatment,2/26/24,Feb,17,
upper left,seed,treatment,2/26/24,Feb,10,
lower left,seed,treatment,2/26/24,Feb,18,
lower left,seed,treatment,2/26/24,Feb,23,
lower left,seed,treatment,2/26/24,Feb,22,
lower left,seed,treatment,2/26/24,Feb,28,
lower left,seed,treatment,2/26/24,Feb,12,
lower left,seed,treatment,2/26/24,Feb,22,
lower left,seed,treatment,2/26/24,Feb,21,
lower left,seed,treatment,2/26/24,Feb,12,
lower left,seed,treatment,2/26/24,Feb,20,
lower left,seed,treatment,2/26/24,Feb,14,
lower left,seed,treatment,2/26/24,Feb,31,
lower left,seed,treatment,2/26/24,Feb,23,
lower left,seed,treatment,2/26/24,Feb,19,
lower left,seed,treatment,2/26/24,Feb,15,
lower left,seed,treatment,2/26/24,Feb,17,
lower left,seed,treatment,2/26/24,Feb,19,
lower left,seed,treatment,2/26/24,Feb,21,
lower left,seed,treatment,2/26/24,Feb,20,
lower left,seed,treatment,2/26/24,Feb,18,
lower left,seed,treatment,2/26/24,Feb,19,
lower left,seed,treatment,2/26/24,Feb,24,
lower left,seed,treatment,2/26/24,Feb,16,
lower left,seed,treatment,2/26/24,Feb,25,
lower left,seed,treatment,2/26/24,Feb,14,
lower left,seed,treatment,2/26/24,Feb,24,
lower left,seed,treatment,2/26/24,Feb,20,
lower left,seed,treatment,2/26/24,Feb,16,
lower left,seed,treatment,2/26/24,Feb,27,
upper right,seed,control,2/26/24,Feb,17,
upper right,seed,control,2/26/24,Feb,19,
upper right,seed,control,2/26/24,Feb,17,
upper right,seed,control,2/26/24,Feb,18,
upper right,seed,control,2/26/24,Feb,22,
upper right,seed,control,2/26/24,Feb,17,
upper right,seed,control,2/26/24,Feb,24,
upper right,seed,control,2/26/24,Feb,23,
upper right,seed,control,2/26/24,Feb,24,
upper right,seed,control,2/26/24,Feb,20,
upper right,seed,control,2/26/24,Feb,24,
upper right,seed,control,2/26/24,Feb,22,
upper right,seed,control,2/26/24,Feb,28,
upper right,seed,control,2/26/24,Feb,28,
upper right,seed,control,2/26/24,Feb,24,
upper right,seed,control,2/26/24,Feb,21,
upper right,seed,control,2/26/24,Feb,21,
upper right,seed,control,2/26/24,Feb,26,
upper right,seed,control,2/26/24,Feb,30,
upper right,seed,control,2/26/24,Feb,25,
upper right,seed,control,2/26/24,Feb,20,
upper right,seed,control,2/26/24,Feb,11,
upper right,seed,control,2/26/24,Feb,14,
upper right,seed,control,2/26/24,Feb,19,
upper right,seed,control,2/26/24,Feb,18,
upper right,seed,control,2/26/24,Feb,13,
upper right,seed,control,2/26/24,Feb,20,
upper right,seed,control,2/26/24,Feb,18,
upper right,seed,control,2/26/24,Feb,14,
upper right,seed,control,2/26/24,Feb,15,
lower right,seed,control,2/26/24,Feb,38,
lower right,seed,control,2/26/24,Feb,30,
lower right,seed,control,2/26/24,Feb,13,
lower right,seed,control,2/26/24,Feb,15,
lower right,seed,control,2/26/24,Feb,18,
lower right,seed,control,2/26/24,Feb,25,
lower right,seed,control,2/26/24,Feb,25,
lower right,seed,control,2/26/24,Feb,18,
lower right,seed,control,2/26/24,Feb,35,
lower right,seed,control,2/26/24,Feb,16,
lower right,seed,control,2/26/24,Feb,6,
lower right,seed,control,2/26/24,Feb,27,
lower right,seed,control,2/26/24,Feb,28,
lower right,seed,control,2/26/24,Feb,21,
lower right,seed,control,2/26/24,Feb,23,
lower right,seed,control,2/26/24,Feb,24,
lower right,seed,control,2/26/24,Feb,20,
lower right,seed,control,2/26/24,Feb,19,
lower right,seed,control,2/26/24,Feb,23,
lower right,seed,control,2/26/24,Feb,26,
lower right,seed,control,2/26/24,Feb,14,
lower right,seed,control,2/26/24,Feb,30,
lower right,seed,control,2/26/24,Feb,19,
lower right,seed,control,2/26/24,Feb,20,
lower right,seed,control,2/26/24,Feb,12,
lower right,seed,control,2/26/24,Feb,10,
lower right,seed,control,2/26/24,Feb,21,
P2,juvenile,treatment,2/26/24,Feb,38,
P2,juvenile,treatment,2/26/24,Feb,40,
P2,juvenile,treatment,2/26/24,Feb,35,
P2,juvenile,treatment,2/26/24,Feb,32,
P2,juvenile,treatment,2/26/24,Feb,40,
P2,juvenile,treatment,2/26/24,Feb,48,
P2,juvenile,treatment,2/26/24,Feb,49,
P2,juvenile,treatment,2/26/24,Feb,41,
P2,juvenile,treatment,2/26/24,Feb,39,
P5,juvenile,treatment,2/26/24,Feb,64,
P5,juvenile,treatment,2/26/24,Feb,33,
P5,juvenile,treatment,2/26/24,Feb,41,
P5,juvenile,treatment,2/26/24,Feb,40,
H1,juvenile,treatment,2/26/24,Feb,46,
H1,juvenile,treatment,2/26/24,Feb,30,
H1,juvenile,treatment,2/26/24,Feb,41,
H1,juvenile,treatment,2/26/24,Feb,45,
H1,juvenile,treatment,2/26/24,Feb,33,
H1,juvenile,treatment,2/26/24,Feb,35,
H1,juvenile,treatment,2/26/24,Feb,29,
H1,juvenile,treatment,2/26/24,Feb,40,
H1,juvenile,treatment,2/26/24,Feb,40,
H1,juvenile,treatment,2/26/24,Feb,30,
H1,juvenile,treatment,2/26/24,Feb,28,
H1,juvenile,treatment,2/26/24,Feb,35,
H1,juvenile,treatment,2/26/24,Feb,32,
H1,juvenile,treatment,2/26/24,Feb,37,
H1,juvenile,treatment,2/26/24,Feb,25,
T2,juvenile,treatment,2/26/24,Feb,43,
T2,juvenile,treatment,2/26/24,Feb,35,
T2,juvenile,treatment,2/26/24,Feb,29,
T2,juvenile,treatment,2/26/24,Feb,34,
T2,juvenile,treatment,2/26/24,Feb,49,
T2,juvenile,treatment,2/26/24,Feb,52,
T2,juvenile,treatment,2/26/24,Feb,29,
T2,juvenile,treatment,2/26/24,Feb,37,
T2,juvenile,treatment,2/26/24,Feb,52,
T2,juvenile,treatment,2/26/24,Feb,35,
T2,juvenile,treatment,2/26/24,Feb,41,
T2,juvenile,treatment,2/26/24,Feb,36,
T2,juvenile,treatment,2/26/24,Feb,33,
T2,juvenile,treatment,2/26/24,Feb,39,
T2,juvenile,treatment,2/26/24,Feb,27,
Pink,adult,treatment,2/26/24,Feb,44,
Pink,adult,treatment,2/26/24,Feb,46,
Pink,adult,treatment,2/26/24,Feb,57,
Pink,adult,treatment,2/26/24,Feb,52,
Pink,adult,treatment,2/26/24,Feb,45,
Pink,adult,treatment,2/26/24,Feb,60,
Pink,adult,treatment,2/26/24,Feb,63,
Pink,adult,treatment,2/26/24,Feb,48,
Pink,adult,treatment,2/26/24,Feb,54,
Pink,adult,treatment,2/26/24,Feb,52,
Pink,adult,treatment,2/26/24,Feb,53,
Pink,adult,treatment,2/26/24,Feb,42,
Pink,adult,treatment,2/26/24,Feb,35,
Pink,adult,treatment,2/26/24,Feb,58,
Pink,adult,treatment,2/26/24,Feb,35,
Pink,adult,treatment,2/26/24,Feb,34,
Orange,adult,treatment,2/26/24,Feb,42,
Orange,adult,treatment,2/26/24,Feb,68,
Orange,adult,treatment,2/26/24,Feb,62,
Orange,adult,treatment,2/26/24,Feb,56,
Orange,adult,treatment,2/26/24,Feb,50,
Orange,adult,treatment,2/26/24,Feb,39,
Orange,adult,treatment,2/26/24,Feb,50,
Orange,adult,treatment,2/26/24,Feb,43,
Orange,adult,treatment,2/26/24,Feb,59,
Orange,adult,treatment,2/26/24,Feb,40,
Orange,adult,treatment,2/26/24,Feb,49,
Orange,adult,treatment,2/26/24,Feb,43,
Orange,adult,treatment,2/26/24,Feb,48,
Orange,adult,treatment,2/26/24,Feb,51,
Orange,adult,treatment,2/26/24,Feb,47,
Blue,adult,treatment,2/26/24,Feb,60,
Blue,adult,treatment,2/26/24,Feb,45,
Blue,adult,treatment,2/26/24,Feb,55,
Blue,adult,treatment,2/26/24,Feb,49,
Blue,adult,treatment,2/26/24,Feb,59,
Blue,adult,treatment,2/26/24,Feb,39,
Blue,adult,treatment,2/26/24,Feb,72,
Blue,adult,treatment,2/26/24,Feb,47,
Blue,adult,treatment,2/26/24,Feb,45,
Blue,adult,treatment,2/26/24,Feb,44,
Blue,adult,treatment,2/26/24,Feb,34,
Blue,adult,treatment,2/26/24,Feb,50,
Blue,adult,treatment,2/26/24,Feb,37,
Blue,adult,treatment,2/26/24,Feb,40,
Blue,adult,treatment,2/26/24,Feb,75,
Bird,adult,treatment,2/26/24,Feb,61,
Bird,adult,treatment,2/26/24,Feb,53,
Bird,adult,treatment,2/26/24,Feb,51,
Bird,adult,treatment,2/26/24,Feb,40,
Bird,adult,treatment,2/26/24,Feb,53,
Bird,adult,treatment,2/26/24,Feb,55,
Bird,adult,treatment,2/26/24,Feb,55,
Bird,adult,treatment,2/26/24,Feb,33,
Bird,adult,treatment,2/26/24,Feb,29,
Bird,adult,treatment,2/26/24,Feb,34,
Bird,adult,treatment,2/26/24,Feb,32,
Bird,adult,treatment,2/26/24,Feb,28,
Bird,adult,treatment,2/26/24,Feb,33,
Bird,adult,treatment,2/26/24,Feb,30,
Bird,adult,treatment,2/26/24,Feb,31,
Orange,adult,control,2/26/24,Feb,64,
Orange,adult,control,2/26/24,Feb,67,
Orange,adult,control,2/26/24,Feb,46,
Orange,adult,control,2/26/24,Feb,30,
Orange,adult,control,2/26/24,Feb,58,
Orange,adult,control,2/26/24,Feb,49,
Orange,adult,control,2/26/24,Feb,54,
Orange,adult,control,2/26/24,Feb,61,
Orange,adult,control,2/26/24,Feb,66,
Orange,adult,control,2/26/24,Feb,57,
Orange,adult,control,2/26/24,Feb,40,
